stationLocations,,,,
id,name,lineNumber,latitude,longitude
640,보문,6,37.585293,127.019377
641,안암,6,37.586261,127.02903
642,고려대,6,37.59034,127.03626
643,월곡,6,37.60192,127.041492
644,상월곡,6,37.606392,127.048509
645,돌곶이,6,37.610522,127.056419
646,석계,6,37.614937,127.065922
647,태릉입구,6,37.617319,127.074741
648,화랑대,6,37.619875,127.084106
615,봉화산,6,37.617293,127.091375
649,신내,6,37.612571,127.104326
711,장암,7,37.70015,127.053126
712,도봉산,7,37.689131,127.046548
713,수락산,7,37.677804,127.055314
714,마들,7,37.664985,127.057701
715,노원,7,37.654478,127.060555
716,중계,7,37.645052,127.064084
717,하계,7,37.636363,127.067999
718,공릉,7,37.625642,127.072969
719,태릉입구,7,37.617319,127.074741
720,먹골,7,37.610638,127.077719
721,중화,7,37.602604,127.079254
722,상봉,7,37.595673,127.085708
723,면목,7,37.588671,127.087503
724,사가정,7,37.580912,127.088502
725,용마산,7,37.573752,127.086802
726,중곡,7,37.565877,127.084291
727,군자,7,37.557151,127.079484
728,어린이대공원,7,37.547962,127.07465
729,건대입구,7,37.540882,127.071103
730,뚝섬유원지,7,37.531558,127.066714
731,청담,7,37.519097,127.051851
732,강남구청,7,37.517185,127.04122
733,학동,7,37.514262,127.031738
734,논현,7,37.511108,127.021385
735,반포,7,37.508171,127.011717
736,고속터미널,7,37.503387,127.005055
737,내방,7,37.48764,126.993541
738,총신대입구,7,37.485258,126.981766
739,남성,7,37.484688,126.971108
740,숭실대입구,7,37.496258,126.953649
741,상도,7,37.50279,126.947949
742,장승배기,7,37.504845,126.939025
743,신대방삼거리,7,37.499717,126.928218
744,보라매,7,37.499916,126.920112
745,신풍,7,37.500107,126.909806
746,대림,7,37.492984,126.896997
747,남구로,7,37.486181,126.887372
748,가산디지털단지,7,37.480376,126.882704
749,철산,7,37.47616,126.868217
750,광명사거리,7,37.47927,126.854854
751,천왕,7,37.486699,126.838684
752,온수,7,37.492059,126.823294
811,암사,8,37.550127,127.127521
812,천호,8,37.53792,127.123179
813,강동구청,8,37.530348,127.120461
814,몽촌토성,8,37.517692,127.11274
815,잠실,8,37.514649,127.104267
816,석촌,8,37.505396,127.106995
817,송파,8,37.49978,127.11212
818,가락시장,8,37.493004,127.118279
819,문정,8,37.485931,127.122473
820,장지,8,37.478609,127.126229
821,복정,8,37.471016,127.126746
828,남위례,8,37.462839,127.139047
822,산성,8,37.456886,127.149927
823,남한산성입구,8,37.451568,127.159845
824,단대오거리,8,37.445057,127.156735
825,신흥,8,37.440952,127.14759
826,수진,8,37.437575,127.140936
827,모란,8,37.433888,127.129921
